"Axis.1"	"Axis.2"	"Axis.3"	"Axis.4"	"Axis.5"	"Axis.6"	"Axis.7"	"Axis.8"	"Axis.9"	"Axis.10"	"Axis.11"	"Axis.12"	"Axis.13"	"Axis.14"	"Axis.15"	"Axis.16"	"Axis.17"	"Axis.18"	"Axis.19"	"Axis.20"	"Axis.21"	"Axis.22"	"Axis.23"	"Axis.24"	"Axis.25"	"Axis.26"	"Axis.27"	"as.factor.gene_marks."
"gdcvubrqcnonl"	-0.0811248491595297	0.00322618621266825	-0.129400604438704	-0.059636915622921	-0.00251930385234975	0.0420411568016422	0.0280937819389163	0.000880202241924037	-0.0132694090932282	0.00535424315019374	-0.0267684734853302	0.0409844346284509	-0.00627314874203849	0.0121893350319678	0.0177747158929625	0.0112429982550428	0.00844261108300073	0.0166547992699623	-0.00907513478504035	0.0042454673180858	0.00707725781388465	-0.000245332808883219	0.00377430158427636	0.00729215504020967	-0.000709466316200288	0.00112167539182183	-0.000422252135396191	"red"
"gdcvubrqcnponl"	-0.112832573042677	0.0383487229326708	-0.0451349039866655	-0.0229357465629311	-0.0474957733454312	-0.0446678987791559	0.0479836819584825	0.0224533659122743	0.00701305899576555	0.0455996296702901	-0.00459963875604428	0.0110442830051539	0.00676099893273487	0.0527796759319369	0.0171126563988231	0.0322405908041687	-0.00018683206775377	0.00326384944679647	0.0217823348471687	-0.00377274661131711	0.00149682133674771	0.000177172907069905	0.00043263173119367	0.00281973107562015	0.00025004953588424	-0.000649077618530065	-0.000297582687489323	"red"
"gfdcvubrqcnonl"	-0.0886305329674333	-0.00861730767267234	-0.13135678864426	-0.0612571375616087	-0.0107401820535108	0.0463794876686522	0.0561327074548826	-0.0146371473565651	0.0171795495174395	-0.0304684642933033	0.0567964807900259	0.0259802795316861	0.0281451483983202	-0.00324658471533354	0.0512792685239219	0.0186624324550613	0.0115789398494196	0.0217707535226334	-0.0221047073306257	-0.0372658769299964	-0.000278248318544692	-0.0469276867888474	-0.0735333378036055	-0.0953272908044187	0.00338369252118228	0.000690134375760616	-0.00225167024996155	"red"
"hfdcvubrqcnonl"	-0.141536300610322	-0.115576070698841	-0.104648178611751	-0.0756179048298297	-0.0740147429559547	0.0731435291384424	0.0919510282913507	-0.062541875578616	0.0651489090896328	-0.11616792410569	0.161424362760961	0.0101702820208123	0.0235305699460281	-0.0197646084150365	0.045407719447606	0.0094374738572271	0.0151485891256266	0.00523195083078422	0.00134714323931711	-0.011571319686151	-0.00434873243877725	-0.00641268928493977	-0.00302740725661035	0.00240790224250401	0.00113425077507379	-0.00152045834692091	-4.13721953405739e-05	"red"
"hfdcvubrqcnponl"	-0.172870126628548	-0.0711530726805935	-0.0132642929296288	-0.0340832574456976	-0.120218351062088	-0.0266378068571199	0.114862686140133	-0.0357591037089357	0.0919253896981712	-0.062189233778854	0.188495075140112	-0.0319267808977474	0.0403107982821027	0.0417299978823485	0.0436679087890407	0.0529521968065828	0.00817725960858965	-0.00360039045479314	0.065071573989642	-0.0279902467692978	-0.0113754309810081	-0.00963652768536642	-0.00374943532059083	-0.000747240950442409	0.000389674396071999	0.00436124112947787	0.000343083672231856	"red"
"htbrqcnonl"	-0.18699086245264	-0.319840454194848	0.00721603395804462	-0.174517499764778	0.081730260276954	-0.0552953301193666	0.0934978259660553	-0.146498673601871	-0.0792575304323341	-0.0307807454741357	0.124704046123808	-0.0247348528978206	-0.0855935566454518	-0.0187881405912701	0.000611429580911589	-0.00121513615070848	0.0759412811006446	-0.0195584155487048	-0.0239519852466501	-0.0452278899017335	0.00645013532202168	-0.0593725634540506	0.0978995350616342	0.0966556875818732	0.00358220195663873	-0.0116997712733327	0.00201785605981676	"red"
"jcvubrqcnonl"	-0.155903010901754	-0.269204261544312	-0.0398800665351759	-0.0255284371054384	-0.104246898641978	0.0954441766019675	-0.00109210729959354	0.0121123645227933	-0.0102561981084436	-0.0137875167072987	-0.052560907539042	0.0485983013783472	-0.0500805577356601	0.0336704531477148	-0.0629967020978543	0.00751853960862018	-0.0616447475324201	0.0468547040167852	-0.0156152976721363	-0.0212777420640405	-0.0156343349723144	-0.0231215110396525	0.00230256391000771	-0.00471848029460511	-0.00251019330596176	0.0102230257119238	0.00105781839798727	"red"
"jvubrqcnonl"	-0.155903010901754	-0.269204261544311	-0.0398800665351757	-0.0255284371054395	-0.104246898641978	0.0954441766019665	-0.00109210729959465	0.0121123645227929	-0.0102561981084438	-0.0137875167072982	-0.0525609075390423	0.0485983013783485	-0.0500805577356613	0.0336704531477151	-0.0629967020978543	0.00751853960862049	-0.0616447475324206	0.046854704016786	-0.0156152976721357	-0.0212777420640423	-0.0156343349723149	-0.0231215110396534	0.00230256391000789	-0.00471848029460056	-0.00251019330596234	0.0102230257119213	0.00105781839799397	"red"
"jvubrqcnponl"	-0.19153453541246	-0.215255952248077	0.0587050678158364	0.0172019668613616	-0.156006507349786	-0.0147338456090176	0.0253398587162816	0.0461845809723081	0.0250303299508706	0.0445222916111047	-0.0287463293027331	0.0024122551242735	-0.0281632104794615	0.0988925466370244	-0.0635112662681989	0.0570721721853094	-0.0632466173064013	0.0355056361402638	0.0558789851366707	-0.0319263645106111	-0.0225793241379178	-0.0206334959828351	0.00420997908443151	-0.000182075794769986	-0.00361814600131817	0.0185771289187898	-0.00381420159921633	"red"
"jicvubrqcnonl"	-0.147236277553296	-0.311583647996774	-0.0187669257341208	-0.0084569033961524	-0.106705569361362	0.102762360212686	-0.0192360921994259	0.0636706092535406	0.0183633857439984	-0.00467130021991083	-0.0958805614316759	0.0306980671521798	0.0118557839432416	-0.00649684041240522	0.00764647935283689	0.00902295965255637	0.0340667735721928	-0.00558589798204512	0.00629090822664713	-0.00932589029198233	-0.000829372576379965	-0.0205057017138118	0.00496582147346413	-0.00557638109856944	-0.000114756781274294	-0.00283104693113707	0.0121674001872526	"red"
