	Axis.1	Axis.2	Axis.3	Axis.4	Axis.5	Axis.6	Axis.7	Axis.8	Axis.9	Axis.10	Axis.11	Axis.12	Axis.13	Axis.14	Axis.15	Axis.16	Axis.17	Axis.18	Axis.19	Axis.20	Axis.21	Axis.22	Axis.23	Axis.24	Axis.25	Axis.26	Axis.27	as.factor.gene_marks.
Tr_00055	0.34235171630648503	0.12818664571031602	-0.0044068031351424	-0.0947974960888878	-0.0881047176584181	0.134519466626842	-0.0217597970736545	0.0778953460114596	0.00347295097869978	0.066443438150405	0.0683803388058895	0.00270929254423115	-0.0340240929028292	-0.0993482042578192	-0.0746527886330669	0.0298848987802556	0.017990673772113	0.00241923573760562	0.0171908714410154	0.0032396587937335	0.00325621365053243	-0.0018193068923696698	0.0013045892815462	-0.00139172743064985	0.000898326781865269	-0.00221571950152428	0.00044248700065257596	blue
Tr_00056	-0.0285439171084016	0.159213844310679	0.0436602586944719	0.19057982453161101	0.186859391054159	0.21349055546731302	0.05440439993239	0.00016334853198668	0.0866978183835769	0.00585739215566021	-0.00814383582522207	0.0653622592861063	-0.0564134169083167	-0.00945462693294682	-0.0105888563751827	-0.07419441377406401	-0.00429524322872128	-0.0543152039682478	-0.0378799835951651	0.0111179288884727	-0.00654588171696318	0.0038088433080449204	-0.0057917424440864	0.0049541609722734605	-0.00180389086320078	0.0009089438623097669	-0.000150761930107779	blue
Tr_00057	-0.0166417698230973	0.0362998760255017	-0.15216942187312502	0.175742087110635	0.10350660296928098	0.10365775203309	0.185743272000192	0.00274873860129712	0.0913438321154315	0.0740700434275493	-0.0352922139007731	0.0109412458498726	-0.0661249346907052	-0.0018101016558512899	-0.0077182264626765905	-0.0610668092537443	0.0117689540947804	-0.010103700230794	-0.0471207239008098	0.0111803770069128	-0.0106550641604395	0.00480259213902784	0.00143417546688411	-0.0018920055897158	-0.000762191440713759	-0.00144286133503557	0.000476297770584674	blue
Tr_00059	-0.0656593928784289	0.19607855851305603	0.138585539296293	0.22130599840817197	0.122811645754774	0.0954879639035395	0.0731181268885909	0.0276555538218041	0.106701956337556	0.06042613939329201	0.0223221108080561	0.0202161862690315	-0.0380269819410699	0.0539977476189949	-0.0143044914975673	-0.0233910166623901	-0.0127213381615663	-0.0621005492943119	0.0223833931164686	0.0019588636379206897	-0.00640605471208862	0.00175276099687603	-0.00436413780127474	0.00536484971324619	-0.00389850121667735	0.00232235838670007	0.000662527488135484	blue
Tr_00060	-0.0546164619533287	0.0792311068166445	-0.0480098124201595	0.20567624229921502	0.0437726346849196	-0.0066643433767153	0.199235193257185	0.0301698492888389	0.11215095690255802	0.12320100086322099	-0.0049145795780253295	-0.0304360428606523	-0.0456196345796711	0.0591453114962172	-0.0108848329536293	-0.0129382739502335	0.000966555104210523	-0.0236138222238393	0.0140983348725267	0.00064292764055365	-0.0131132784771234	0.0037143798872277204	0.0016559600339125199	-0.000847522277618673	-0.00243673224197463	0.0011426867820919099	0.000696819283459063	blue
Tr_00062	0.0684740817620358	0.22130418435066604	0.113145449564221	0.227024560642213	-0.0461907001039803	-0.05642483232911	0.16605719808689198	0.034742222746957	0.121378175033115	0.0432960667008556	-0.032058548441936	0.0349012034788004	-0.0614677384397029	-0.0174427668820443	-0.010714766848033	-0.08304722376268901	0.0005080497580956599	-0.0265041322022248	-0.0532603429877851	0.0168829168430731	-0.00226505818828022	0.0059652913922152	-0.0037696395711692295	0.007605247096454999	-0.00387302910690679	7.32120564430118e-05	-0.000883152196285161	blue
Tr_00063	0.00642190158483467	0.0371739482293986	0.16328371839862102	-0.147421045271898	0.310384729335516	0.0822937409350159	0.0109238606975605	-0.0379271142156035	-0.0139763821236578	0.0483307650964237	0.0147650138347701	0.0248510634898301	-0.0339675843652675	-0.0154718462430705	0.0536584604334048	-0.0356264370788584	-0.035585275717289	-0.0499032314149703	-0.0338952384300249	0.028066284705467	0.0134798147042071	0.0029508005521369104	-0.00797527553963394	0.00431753720905923	0.00116828890705229	0.00619992016446801	-0.00156052857775348	blue
Tr_00064	0.0186309460381844	-0.0838580219383978	-0.0334978861700872	-0.157966486989574	0.22174926148986102	-0.0261720428685817	0.148114450066739	-0.0343750852917341	-0.00919998109381068	0.118280739059128	-0.0141784725446453	-0.0337514644540314	-0.0433512832336237	-0.007411361314573079	0.0545251740554751	-0.0169231928668842	-0.0170979926490801	0.0031469682246796802	-0.0410889888901596	0.025636153988008	0.00789668533453219	0.00443136404917786	0.00393511002954318	-0.005450361843399179	0.0032659535324501697	-0.00297531820242011	0.00019383228318037	blue
Tr_00066	-0.0336016642235739	0.0816596057329538	0.24972573644718804	-0.0941446022346386	0.23784267665637698	-0.0285451313330036	0.0322811577405792	-0.0067655793563754394	0.014751210034941998	0.10071891346823199	0.044410105996067005	-0.0168923262703233	-0.0185334218598932	0.0497654216580863	0.0462141329130381	0.0137814423503263	-0.0407359249208594	-0.0595889565556426	0.0318646319205777	0.0165655328505587	0.0112247024113304	0.00103694361180669	-0.00493011779787753	0.00549136745429968	-0.000602568144928426	0.00929526531565258	-0.0012957322876085199	blue
Tr_00067	-0.0225704043854538	-0.0343966700591269	0.0619920320880031	-0.107397115952756	0.154805567670162	-0.130578989865066	0.164166130410316	-0.00373123609064009	0.0199373138758563	0.165849228965353	0.0152923378937251	-0.0716057277691473	-0.0260110177298498	0.0550882936359083	0.0485030780458384	0.0281029061691458	-0.0251627963569526	-0.013762182502040001	0.0248641128418756	0.0130300945298605	0.0020369966788658	0.0041182794015083	0.0067351493929138605	-0.00399343055715215	0.0006446311925122231	0.00489198803290117	-0.0011560906053664	blue
